protein_id,chain,sequence_length
3qse_A,A,385
3qse_B,B,382
3qsl_A,A,313
3qsl_B,B,321
3qsm_A,A,387
3qsm_B,B,387
3qss_A,A,383
3qss_B,B,383
3qt5_A,A,327
3qt5_B,B,322
3qtp_A,A,438
3qtp_B,B,439
3qty_A,A,334
3qty_B,B,317
3qud_A,A,345
3quf_A,A,379
3quf_B,B,384
3qv1_A,A,337
3qv1_B,B,336
3qv1_C,C,336
3qv1_D,D,337
3qv1_E,E,336
3qv1_F,F,336
3qvp_A,A,581
3qvr_A,A,581
3qvs_A,A,392
3qvt_A,A,392
3qvw_A,A,392
3qvx_A,A,392
3qw5_A,A,423
3qw6_A,A,422
3qw7_A,A,422
3qw8_A,A,422
3qwa_A,A,331
3qwa_B,B,332
3qwb_A,A,330
3qwb_B,B,330
3qwb_C,C,330
3qwb_D,D,330
3qwp_A,A,425
3qww_A,A,430
3qxf_A,A,328
3qxf_B,B,328
3qxf_C,C,328
3qxf_D,D,328
3qys_A,A,388
3qyw_A,A,340
3qyz_A,A,340
3qz4_A,A,302
3qz4_B,B,302
3qz7_A,A,341
3qz8_A,A,341
3qza_A,A,388
3r0d_A,A,422
3r0k_A,A,347
3r0k_B,B,356
3r0t_A,A,327
3r0u_A,A,354
3r0u_B,B,356
3r0x_A,A,425
3r10_A,A,354
3r10_B,B,356
3r11_A,A,354
3r11_B,B,356
3r1k_A,A,396
3r1m_A,A,356
3r1z_A,A,354
3r1z_B,B,356
3r25_A,A,390
3r25_B,B,399
3r25_C,C,390
3r25_D,D,399
3r25_E,E,395
3r25_F,F,399
3r25_G,G,395
3r25_H,H,395
3r2g_A,A,323
3r3u_A,A,304
3r3u_C,C,301
3r3z_A,A,304
3r3z_C,C,301
3r41_A,A,302
3r43_A,A,310
3r44_A,A,502
3r4v_A,A,311
3r4y_A,A,360
3r4y_B,B,359
3r4z_A,A,358
3r4z_B,B,359
3r5a_A,A,321
3r5a_B,B,318
3r5a_C,C,321
3r5a_D,D,321
3r5a_E,E,311
3r5a_F,F,321
3r5d_A,A,320
3r5d_B,B,320
3r5d_C,C,319
3r5d_D,D,320
3r5d_E,E,320
3r5d_F,F,320
3r63_A,A,347
3r6c_A,A,346
3r6c_B,B,346
3r6i_A,A,303
3r6j_A,A,305
3r6k_A,A,301
3r88_A,A,344
3r88_B,B,344
3r8g_A,A,303
3r8h_A,A,303
3r9b_A,A,391
3r9b_B,B,391
3r9b_C,C,391
3r9m_A,A,376
3r9p_A,A,380
3r9p_B,B,379
3rau_A,A,358
3rau_B,B,357
3rax_A,A,341
3rax_B,B,341
3rbu_A,A,691
3rbv_A,A,313
3rc1_A,A,325
3rc2_A,A,316
3rc7_A,A,325
3rc9_A,A,314
3rcy_A,A,396
3rcy_B,B,395
3rcy_C,C,396
3rcy_D,D,396
3rcy_E,E,395
3rcy_F,F,397
3rcy_G,G,396
3rcy_H,H,395
3rde_A,A,552
3rde_B,B,552
3rde_C,C,552
3rde_D,D,552
3rdk_A,A,333
3rdk_B,B,334
3re2_A,A,435
3re8_A,A,499
3re8_B,B,499
3re8_C,C,499
3re8_D,D,499
3ren_A,A,331
3ren_B,B,326
3reo_A,A,351
3reo_B,B,352
3reo_C,C,358
3reo_D,D,356
3rf6_A,A,340
3rf6_B,B,352
3rgp_A,A,499
3rgp_B,B,499
3rgp_C,C,499
3rgp_D,D,499
3rgs_A,A,499
3rgs_B,B,499
3rgs_C,C,499
3rgs_D,D,499
3rgt_A,A,383
3rgt_B,B,396
3rgt_C,C,384
3rgt_D,D,383
3rgw_L,L,602
3rgy_A,A,341
3rh4_A,A,326
3rhg_A,A,363
3rhj_A,A,498
3rhj_B,B,498
3rhj_C,C,498
3rhj_D,D,498
3rhl_A,A,498
3rhl_B,B,498
3rhl_C,C,498
3rhl_D,D,498
3rhz_A,A,330
3rhz_B,B,326
3riq_A,A,541
3rix_A,A,428
3rjg_A,A,326
3rjj_A,A,326
3rju_A,A,338
3rkh_A,A,520
3rkh_B,B,520
3rm4_A,A,373
3rm4_B,B,377
3rm8_A,A,377
3rm8_B,B,373
3rme_A,A,377
3rme_B,B,373
3rmj_A,A,307
3rmj_B,B,308
3rmk_A,A,492
3rmk_B,B,304
3rmk_D,D,491
3rmk_E,E,306
3rmz_A,A,354
3rmz_B,B,355
3rmz_D,D,376
3rmz_F,F,376
3rn0_A,A,354
3rn0_B,B,355
3rn0_D,D,376
3rn0_F,F,376
3rn1_A,A,354
3rn1_B,B,355
3rn1_D,D,376
3rn1_F,F,376
3rnd_A,A,399
3ro8_A,A,304
3ro8_B,B,304
3ro8_C,C,302
3ro8_D,D,301
3ro8_E,E,301
3ro8_F,F,304
3ro8_G,G,304
3ro8_H,H,304
3roc_A,A,337
3ros_A,A,449
3row_A,A,344
3row_B,B,326
3rp8_A,A,381
3rpd_A,A,340
3rpd_B,B,336
3rpw_A,A,324
3rqj_A,A,407
3rqj_B,B,411
3rql_A,A,409
3rql_B,B,411
3rqm_A,A,407
3rqm_B,B,411
3rqn_A,A,409
3rqn_B,B,411
3rqt_A,A,459
3rr1_A,A,372
3rr1_B,B,376
3rr4_A,A,368
3rr7_A,A,520
3rrh_A,A,538
3rsj_A,A,406
3rsj_B,B,402
3rsj_C,C,402
3rsj_D,D,404
3rss_A,A,494
3rt9_A,A,489
3rta_A,A,489
3rtv_A,A,540
3ru0_A,A,425
3ru0_B,B,419
3rub_L,L,441
3ruf_A,A,336
3ruf_B,B,336
3ruf_S,S,336
3ruf_b,b,336
3rui_A,A,320
3rum_A,A,375
3rup_A,A,444
3rup_B,B,446
3rv2_A,A,373
3rv2_B,B,373
3rv3_A,A,447
3rv3_B,B,447
3rv4_A,A,446
3rva_A,A,444
3rwl_A,A,404
3rx2_A,A,318
3rx3_A,A,318
3rx4_A,A,318
3rx5_A,A,530
3ry8_A,A,310
3ry8_B,B,301
3ryb_A,A,563
3rzi_A,A,453
3rzi_B,B,457
3s1d_A,A,498
3s1e_A,A,499
3s1f_A,A,498
3s1g_A,A,358
3s1l_A,A,339
3s1l_B,B,339
3s1l_C,C,339
3s1l_D,D,339
3s1y_A,A,361
3s20_A,A,344
3s20_B,B,326
3s21_A,A,334
3s22_A,A,361
3s23_A,A,334
3s2e_A,A,340
3s2e_B,B,340
3s2e_C,C,340
3s2e_D,D,340
3s2e_E,E,340
3s2e_F,F,340
3s2e_G,G,340
3s2e_H,H,340
3s2f_A,A,340
3s2f_B,B,340
3s2f_C,C,340
3s2f_D,D,340
3s2f_E,E,340
3s2f_F,F,340
3s2f_G,G,340
3s2f_H,H,340
3s2i_A,A,340
3s2i_B,B,340
3s2i_C,C,340
3s2i_D,D,340
3s2i_E,E,340
3s2i_F,F,340
3s2i_G,G,340
3s2i_H,H,340
3s2j_A,A,393
3s2l_A,A,393
3s2m_A,A,393
3s2n_A,A,393
3s3g_A,A,316
3s3i_A,A,349
3s3l_A,A,342
3s3l_B,B,342
3s3u_A,A,364
3s3u_B,B,362
3s44_A,A,388
3s46_A,A,365
3s46_B,B,365
3s47_A,A,386
3s47_B,B,386
3s4j_A,A,340
3s4t_A,A,323
3s4t_B,B,315
3s4t_C,C,317
3s4t_D,D,315
3s4t_E,E,316
3s4t_F,F,315
3s4t_G,G,318
3s4t_H,H,315
3s4x_A,A,367
3s5w_A,A,410
3s5w_B,B,414
3s6b_A,A,345
3s6o_A,A,305
3s6o_B,B,305
3s6o_C,C,306
3s6o_D,D,305
3s7o_A,A,315
3s7p_A,A,315
3s7q_A,A,310
3s7w_A,A,519
3s7w_B,B,519
3s82_A,A,373
3s82_B,B,376
3s8f_A,A,554
3s8g_A,A,554
3s8m_A,A,385
3s9i_A,A,714
3s9j_A,A,353
3s9y_A,A,331
3s9y_B,B,323
3s9y_C,C,321
3s9y_D,D,320
3s9z_A,A,715
3sa0_A,A,354
3sad_A,A,709
3sal_A,A,392
3sal_B,B,392
3san_A,A,392
3san_B,B,392
3sb4_A,A,321
3sb4_B,B,320
3sbf_A,A,397
3sbf_B,B,390
3sbf_C,C,397
3sbf_D,D,399
3sbq_A,A,581
3sbq_B,B,581
3sbt_B,B,300
3sc7_X,X,493
3sce_A,A,519
3sce_B,B,519
3sco_A,A,472
3sco_B,B,472
3scr_A,A,472
3scr_B,B,472
3scs_A,A,472
3scs_B,B,472
3sct_A,A,472
3sct_B,B,472
3scu_A,A,472
3scu_B,B,472
3scw_A,A,472
3scw_B,B,472
3scy_A,A,352
3sdo_A,A,443
3sdo_B,B,396
3se8_G,G,344
3se9_G,G,344
3ses_A,A,370
3ses_C,C,369
3set_A,A,370
3set_C,C,369
3seu_A,A,366
3sew_A,A,370
3sex_A,A,370
3sex_C,C,370
3sey_A,A,371
3sey_C,C,371
3sey_E,E,370
3sf6_A,A,387
3sff_A,A,341
3sfv_B,B,342
3sfw_A,A,460
3sfw_B,B,460
3sfx_A,A,315
3sfx_B,B,485
3sg0_A,A,353
3sg2_A,A,394
3sg5_A,A,387
3sg6_A,A,383
3sg7_A,A,398
3sgg_A,A,501
3sgh_A,A,469
3sgh_B,B,469
3sgz_A,A,336
3sgz_B,B,334
3sgz_C,C,336
3shs_A,A,303
3si2_A,A,322
3sie_B,B,300
3sil_A,A,379
3sje_A,A,690
3sjf_A,A,694
3sjg_A,A,696
3sjh_A,A,357
3sjl_A,A,338
3sjl_B,B,343
3sjl_D,D,376
3sjl_F,F,376
3sjn_A,A,373
3sjn_B,B,373
3sjt_A,A,313
3sjt_B,B,313
3sjx_A,A,690
3sk0_A,A,308
3sk3_A,A,385
3sk3_B,B,387
3ska_A,A,563
3ska_B,B,558
3ske_A,A,563
3ske_B,B,558
3skk_A,A,314
3skk_B,B,314
3skp_A,A,338
3sl0_A,A,308
3sl1_A,A,308
3sl4_A,A,329
3sl4_B,B,325
3sl4_C,C,325
3sl4_D,D,324
3slh_A,A,436
3slh_B,B,439
3slh_C,C,438
3slh_D,D,440
3sli_A,A,679
3slr_A,A,370
3sm0_A,A,364
3sm8_A,A,381
3smp_A,A,358
3smp_B,B,363
3smr_A,A,302
3smr_B,B,303
3smr_C,C,303
3smr_D,D,303
3sn0_A,A,396
3sn1_A,A,391
3sn4_A,A,391
3sn7_A,A,322
3sn7_B,B,310
3sn8_A,A,306
3snd_A,A,306
3snd_B,B,306
3sni_A,A,322
3sni_B,B,310
3snx_A,A,442
3snx_B,B,442
3sob_B,B,305
3soc_A,A,307
3soc_B,B,309
3soq_A,A,305
3sov_A,A,306
3spx_A,A,319
3sq7_A,A,432
3sq7_B,B,426
3sq7_C,C,430
3sq7_D,D,425
3sqr_A,A,539
3sqs_A,A,386
3sqw_A,A,508
3sqz_A,A,388
3sr3_A,A,333
3sr3_B,B,304
3srb_B,B,546
3src_B,B,546
3sre_A,A,329
3ss6_A,A,393
3ss6_B,B,391
3ss7_X,X,437
3ss9_X,X,431
3ssa_A,A,436
3ssa_B,B,427
3ssb_A,A,316
3ssb_B,B,316
3sso_A,A,393
3sso_B,B,394
3sso_C,C,393
3sso_D,D,394
3sso_E,E,394
3sso_F,F,393
3st6_A,A,436
3st6_B,B,435
3st6_C,C,424
3st6_D,D,411
3st8_A,A,475
3stp_A,A,390
3sur_A,A,504
3sus_A,A,504
3sut_A,A,504
3suu_A,A,504
3suv_A,A,504
3suw_A,A,504
3sv4_A,A,533
3svw_A,A,337
3svw_B,B,355
3svw_D,D,376
3svw_F,F,376
3swa_A,A,417
3swa_B,B,417
3swg_A,A,416
3swo_A,A,388
3swo_B,B,386
3swo_C,C,386
3swo_D,D,386
3swq_A,A,418
3sws_A,A,354
3sws_B,B,354
3sws_D,D,376
3sws_F,F,376
3sww_A,A,727
3sww_B,B,727
3sx1_A,A,657
3sx1_B,B,657
3sx1_C,C,656
3sx6_A,A,420
3sxq_A,A,519
3sxq_B,B,518
3sxt_A,A,354
3sxt_B,B,357
3sxt_D,D,375
3sxt_F,F,376
3sxx_A,A,666
3sxx_B,B,664
3sxx_C,C,666
3sxx_D,D,657
3sxx_E,E,656
3sxx_F,F,665
3sy4_A,A,421
3sys_A,A,374
3sys_B,B,374
3syz_A,A,540
3sz3_A,A,341
3sza_A,A,447
3sza_B,B,452
3szb_A,A,447
3szb_B,B,452
3szl_A,A,309
3szl_B,B,310
3szn_A,A,306
3szo_A,A,309
3szo_B,B,310
3szu_A,A,309
3szu_B,B,310
3szv_A,A,364
3szy_A,A,413
3szz_A,A,413
3t00_A,A,413
3t01_A,A,413
3t02_A,A,413
3t0f_A,A,314
3t0f_B,B,304
3t0k_A,A,421
3t0u_A,A,657
3t0u_B,B,668
3t0u_C,C,665
3t2b_A,A,379
3t2c_A,A,389
3t2d_A,A,390
3t2e_A,A,385
3t2f_A,A,389
3t2h_E,E,316
3t2j_E,E,316
3t32_A,A,353
3t32_B,B,353
3t3f_A,A,533
3t41_A,A,423
3t41_B,B,420
3t42_A,A,316
3t4p_A,A,318
3t54_A,A,318
3t5m_A,A,335
3t5m_B,B,333
3t5t_A,A,470
3t5t_B,B,475
3t6c_A,A,415
3t6c_B,B,414
3t6d_C,C,334
3t6d_M,M,323
3t6e_C,C,334
3t6e_M,M,322
3t6i_A,A,330
3t6p_A,A,330
3t6q_A,A,601
3t6q_B,B,601
3t6s_A,A,341
3t6s_B,B,342
3t6v_A,A,495
3t6v_B,B,495
3t6v_C,C,495
3t73_A,A,316
3t74_A,A,316
3t7a_A,A,319
3t7d_A,A,451
3t7d_B,B,446
3t7p_A,A,330
3t7q_A,A,330
3t7v_A,A,337
3t7x_A,A,330
3t87_A,A,316
3t8c_A,A,316
3t8d_A,A,316
3t8f_A,A,316
3t8g_A,A,316
3t8h_A,A,316
3t8i_A,A,306
3t8i_B,B,306
3t8i_C,C,306
3t8i_D,D,306
3t8j_A,A,311
3t8q_A,A,367
3t8q_B,B,369
3t8w_A,A,519
3t8w_B,B,517
3t8w_C,C,516
3t8w_D,D,514
3t8w_E,E,509
3t8w_F,F,511
3t8w_G,G,517
3t8w_H,H,518
3t8w_I,I,518
3t8w_J,J,514
3t8w_K,K,509
3t8w_L,L,511
3t95_A,A,314
3t9a_A,A,318
3t9b_A,A,317
3t9c_A,A,325
3t9d_A,A,325
3t9e_A,A,325
3t9f_A,A,318
3t9p_A,A,368
3t9p_B,B,365
3taj_A,A,341
3tan_A,A,580
3tap_A,A,580
3taq_A,A,580
3tar_A,A,580
3taw_A,A,345
3tax_A,A,695
3tax_C,C,695
3tbd_A,A,331
3tbh_A,A,317
3tc1_B,B,305
3tcf_A,A,517
3tcf_B,B,517
3tcf_C,C,517
3tcf_D,D,517
3tcf_E,E,517
3tcf_F,F,517
3tcf_G,G,517
3tcf_H,H,517
3tcg_A,A,517
3tcg_B,B,517
3tcg_C,C,517
3tcg_D,D,517
3tcg_E,E,517
3tcg_F,F,517
3tcg_G,G,517
3tcg_H,H,517
3tch_A,A,517
3tcs_A,A,366
3tcs_B,B,367
3td9_A,A,344
3tde_A,A,369
3tde_B,B,369
3tde_C,C,375
3tde_D,D,374
3tdw_A,A,302
3te9_A,A,310
3te9_B,B,313
3tel_A,A,372
3tew_A,A,701
3tex_A,A,701
3tez_A,A,700
3tf3_A,A,314
3tf3_B,B,314
3tfc_A,A,343
3tfc_B,B,330
3tfi_A,A,369
3tfi_B,B,369
3tfj_A,A,369
3tfj_B,B,369
3tfr_A,A,326
3tfs_A,A,326
3tft_A,A,422
3tft_B,B,424
3tfu_A,A,417
3tfu_B,B,412
3tg0_A,A,440
3tg0_B,B,440
3tg0_C,C,440
3tg0_D,D,443
3tg4_A,A,427
3tge_A,A,324
3tgg_A,A,324
3tgh_A,A,315
3tgt_A,A,342
3tgw_A,A,445
3tgw_B,B,441
3th0_A,A,552
3thc_A,A,605
3thc_B,B,605
3thc_C,C,602
3thc_D,D,602
3thd_A,A,605
3thd_B,B,605
3thd_C,C,602
3thd_D,D,602
3the_A,A,314
3the_B,B,314
3thh_A,A,314
3thh_B,B,314
3thi_A,A,362
3thj_A,A,314
3thj_B,B,314
3thu_A,A,405
3thu_B,B,404
3thu_C,C,404
3thv_A,A,579
3thv_D,D,579
3ti0_A,A,579
3ti0_D,D,579
3ti3_A,A,387
3ti3_B,B,387
3ti4_A,A,387
3ti4_B,B,387
3ti5_A,A,387
3ti5_B,B,387
3ti6_A,A,387
3ti6_B,B,387
3ti7_A,A,340
3ti8_A,A,392
3ti8_B,B,392
3ti9_A,A,341
3tia_A,A,388
3tia_B,B,388
3tia_C,C,388
3tia_D,D,388
3tic_A,A,388
3tic_B,B,388
3tic_C,C,388
3tic_D,D,388
3tit_A,A,306
3tiv_A,A,437
3tiv_B,B,430
3tj4_A,A,360
3tj4_B,B,360
3tji_A,A,399
3tji_B,B,399
3tji_C,C,399
3tji_D,D,399
3tjl_A,A,404
3tjx_A,A,305
3tjx_B,B,304
3tk7_A,A,320
3tk7_B,B,317
3tkf_A,A,310
3tkf_B,B,313
3tkk_A,A,300
3tkk_B,B,300
3tkk_C,C,300
3tkk_D,D,300
3tl2_A,A,312
3tla_A,A,335
3tla_B,B,335
3tlb_A,A,335
3tlb_B,B,335
3tlc_A,A,335
3tlc_B,B,335
3tle_A,A,335
3tle_B,B,335
3tlg_A,A,330
3tlg_B,B,331
3tli_A,A,316
3tll_A,A,366
3tlo_A,A,302
3tlo_B,B,302
3tly_A,A,335
3tly_B,B,335
3tlz_A,A,335
3tlz_B,B,335
3tm1_A,A,367
3tm1_B,B,367
3tm2_A,A,367
3tm2_B,B,367
3tm4_A,A,364
3tm4_B,B,364
3tm8_A,A,309
3tm8_B,B,307
3tmb_A,A,307
3tmb_B,B,318
3tmc_A,A,306
3tmc_B,B,306
3tmn_E,E,316
3tn3_A,A,322
3tn3_B,B,323
3tn4_A,A,323
3tn4_B,B,323
3tn5_A,A,323
3tn5_B,B,323
3tn6_A,A,320
3tn6_B,B,320
3tnb_A,A,323
3tnb_B,B,323
3tno_A,A,320
3tno_B,B,317
3tns_A,A,306
3tnt_A,A,306
3tod_A,A,335
3tor_A,A,441
3tor_B,B,441
3tor_C,C,441
3tor_D,D,441
3toy_A,A,359
3toy_B,B,359
3toy_C,C,359
3toy_D,D,359
3tp4_A,A,452
3tp4_B,B,455
3tpb_A,A,401
3tpd_A,A,396
3tpe_A,A,420
3tpj_A,A,377
3tpp_A,A,375
3tq0_A,A,313
3tq0_B,B,313
3tqe_A,A,308
3tqt_A,A,348
3tqt_B,B,337
3tr1_A,A,423
3tro_A,A,307
3tro_B,B,307
3trp_A,A,353
3trq_A,A,353
3tsa_A,A,372
3tsa_B,B,372
3tsh_A,A,490
3tsj_A,A,489
3tsj_B,B,489
3tsu_A,A,646
3ttb_A,A,520
3ttb_B,B,520
3ttc_A,A,646
3tte_A,A,361
3tte_B,B,359
3ttf_A,A,646
3ttg_A,A,333
3ttm_A,A,341
3ttm_B,B,341
3ttn_A,A,330
3ttn_B,B,325
3ttt_A,A,726
3ttt_B,B,726
3ttt_C,C,726
3ttt_D,D,726
3ttu_A,A,726
3ttu_B,B,726
3ttu_C,C,726
3ttu_D,D,726
3ttv_A,A,725
3ttv_B,B,725
3ttv_C,C,725
3ttv_D,D,725
3ttw_A,A,725
3ttw_B,B,725
3ttw_C,C,725
3ttw_D,D,725
3ttx_A,A,725
3ttx_B,B,725
3ttx_C,C,725
3ttx_D,D,725
3tu3_B,B,526
3tut_A,A,336
3tux_A,A,336
3tv1_A,A,336
3tv1_B,B,336
3tvy_A,A,365
3tw0_A,A,361
3tw0_B,B,361
3tw0_C,C,360
3tw0_D,D,357
3tw9_A,A,394
3tw9_B,B,410
3tw9_C,C,395
3tw9_D,D,408
3twa_A,A,415
3twa_B,B,415
3twa_C,C,415
3twa_D,D,415
3twa_E,E,415
3twb_A,A,415
3twb_B,B,416
3twb_C,C,417
3twb_D,D,416
3twb_E,E,415
3twp_A,A,346
3twp_B,B,344
3twp_C,C,346
3twp_D,D,346
3twz_A,A,390
3tx6_A,A,351
3tx9_A,A,399
3txz_A,A,399
3ty1_A,A,379
3ty1_B,B,379
3ty1_C,C,379
3ty3_A,A,358
3ty3_B,B,352
3ty4_A,A,356
3ty4_B,B,357
3tyl_A,A,409
3tyl_B,B,411
3tym_A,A,407
3tym_B,B,411
3tyn_A,A,407
3tyn_B,B,411
3tyo_A,A,407
3tyo_B,B,411
3tyq_A,A,563
3tyq_B,B,558
3tyv_A,A,563
3tyv_B,B,558
3tz6_A,A,342
3tzo_A,A,402
3tzo_B,B,402
3u0b_A,A,415
3u0e_A,A,407
3u0f_A,A,407
3u0g_A,A,303
3u0g_F,F,305
3u1b_A,A,336
3u1b_B,B,333
3u1r_A,A,456
3u28_A,A,335
3u2c_A,A,315
3u3h_A,A,386
3u4f_A,A,360
3u4f_B,B,360
3u4f_C,C,358
3u4f_D,D,360
3u4g_A,A,321
3u4j_A,A,497
3u4j_B,B,495
3u4j_C,C,497
3u4j_D,D,496
3u4o_A,A,563
3u4o_B,B,558
3u4r_A,A,558
3u4r_B,B,558
3u52_A,A,494
3u52_B,B,493
3u52_C,C,318
3u52_D,D,328
3u65_A,A,314
3u65_B,B,317
3u7b_A,A,327
3u7b_B,B,326
3u7b_C,C,326
3u7b_D,D,327
3u7b_E,E,326
3u7e_B,B,374
3u7f_B,B,373
3u7h_B,B,369
3u7q_A,A,477
3u7q_B,B,522
3u7q_C,C,477
3u7q_D,D,522
3u7v_A,A,502
3u8q_A,A,335
3u8x_A,A,357
3u8x_C,C,357
3u95_A,A,468
3u95_B,B,469
3u95_C,C,464
3u95_D,D,468
3u95_E,E,466
3u95_F,F,469
3u9r_B,B,536
3u9w_A,A,608
3uaa_A,A,476
3uab_A,A,476
3uac_A,A,476
3uad_A,A,476
3uae_A,A,476
3uag_A,A,429
3uah_A,A,312
3ubm_A,A,428
3ubm_B,B,430
3ubm_C,C,429
3ubm_D,D,430
3ubp_C,C,569
3ubq_A,A,321
3ubq_C,C,319
3ubq_E,E,319
3ubq_G,G,321
3ubq_I,I,317
3ubq_K,K,316
3uc1_A,A,300
3ucc_A,A,433
3ucc_B,B,432
3ucd_A,A,433
3ucd_B,B,432
3ucq_A,A,651
3ud1_A,A,322
3ud1_B,B,322
3ud1_C,C,322
3udf_A,A,596
3udf_B,B,599
3udh_A,A,394
3udj_A,A,394
3udm_A,A,394
3udp_A,A,394
3udr_A,A,394
3udu_A,A,356
3udu_B,B,355
3udu_C,C,351
3udu_D,D,356
3udu_E,E,355
3udu_F,F,356
3udu_G,G,356
3udu_H,H,354
3udy_A,A,394
3ue9_A,A,424
3ue9_B,B,421
3ue9_C,C,426
3ue9_D,D,425
3uek_A,A,521
3ueq_A,A,632
3ues_A,A,457
3ues_B,B,458
3ufb_A,A,484
3ufl_A,A,373
3ufs_A,A,407
3ufs_B,B,411
3ufu_A,A,407
3ufu_B,B,411
3ufw_A,A,407
3ufw_B,B,411
3ufy_A,A,303
3ug3_A,A,482
3ug3_B,B,482
3ug3_C,C,483
3ug3_D,D,481
3ug3_E,E,482
3ug3_F,F,482
3ug8_A,A,303
3ugf_A,A,524
3ugf_B,B,530
3ugr_A,A,308
3ugu_A,A,345
3ugw_A,A,335
3uh0_A,A,420
3uj2_A,A,423
3uj2_B,B,423
3uj2_C,C,423
3uj2_D,D,423
3uj2_E,E,423
3uj2_F,F,423
3uj2_G,G,423
3uj2_H,H,423
3uje_A,A,433
3uje_B,B,432
3ujr_A,A,433
3ujr_B,B,432
3ujs_A,A,433
3ujs_B,B,433
3uk0_A,A,350
3uk4_A,A,335
3ukj_A,A,348
3uko_A,A,378
3uko_B,B,378
3ul0_B,B,426
3ul1_B,B,426
3umo_A,A,309
3umo_B,B,309
3ump_A,A,309
3ump_B,B,308
3umv_A,A,472
3umv_B,B,468
3un2_A,A,391
3un2_B,B,390
3un2_C,C,390
3un3_A,A,391
3un3_B,B,390
3un3_C,C,390
3un5_A,A,391
3un5_B,B,390
3un5_C,C,390
3un5_D,D,390
3un5_E,E,390
3un5_F,F,390
3un7_A,A,439
3un7_B,B,430
3unt_A,A,373
3uny_A,A,391
3uny_B,B,390
3uny_C,C,390
3uny_D,D,390
3uny_E,E,391
3uny_F,F,391
3uo8_B,B,364
3uo8_C,C,363
3uoa_B,B,364
3uoa_C,C,363
3uox_A,A,537
3uox_B,B,533
3uoy_A,A,537
3uoy_B,B,537
3upb_A,A,311
3upb_B,B,309
3uph_A,A,563
3uph_B,B,558
3upi_A,A,563
3upi_B,B,558
3upk_A,A,418
3upl_A,A,437
3upl_B,B,437
3upm_A,A,326
3upm_B,B,319
3upq_A,A,308
3upw_A,A,404
3upy_A,A,436
3upy_B,B,436
3uq8_A,A,322
3uqp_A,A,373
3uqs_A,A,478
3uqs_B,B,482
3uqs_C,C,475
3uqu_A,A,374
3uqx_A,A,375
3uqy_L,L,581
3uqy_M,M,581
3ur2_A,A,326
3ur2_B,B,324
3ur4_A,A,303
3ur4_B,B,301
3ur5_A,A,326
3ur5_B,B,322
3ur7_A,A,316
3ur7_B,B,316
3ur8_A,A,321
3ur8_B,B,316
3ura_A,A,326
3ura_B,B,321
3urb_A,A,320
3urb_B,B,322
3urh_A,A,449
3urh_B,B,453
3urj_A,A,328
3urk_A,A,309
3urk_B,B,310
3url_A,A,328
3urm_A,A,329
3urm_B,B,329
3urn_A,A,326
3urn_B,B,326
3us3_A,A,353
3usc_L,L,581
3usc_M,M,581
3use_L,L,581
3use_M,M,581
3utc_A,A,309
3utc_B,B,310
3utd_A,A,309
3utd_B,B,310
3utm_A,A,320
3utm_B,B,307
3utn_X,X,304
3uu1_A,A,338
3uu1_B,B,339
3uu1_C,C,339
3uu1_D,D,338
3uug_A,A,329
3uug_B,B,329
3uuw_A,A,304
3uuw_B,B,303
3uuw_C,C,303
3uuw_D,D,303
3uv3_A,A,309
3uv3_B,B,310
3uv6_A,A,309
3uv6_B,B,310
3uv7_A,A,309
3uv7_B,B,310
3uvi_A,A,373
3uvm_A,A,304
3uvn_A,A,304
3uvn_C,C,304
3uw2_A,A,458
3uw3_A,A,374
3uw3_B,B,375
3uwc_A,A,362
3uwd_A,A,380
3uwe_A,A,313
3uwm_A,A,309
3uwm_B,B,310
3uxf_A,A,449
3uyk_A,A,373
3uyk_B,B,369
3uyl_A,A,372
3uyl_B,B,370
3uzo_A,A,335
3uzo_B,B,335
3uzw_A,A,325
3uzw_B,B,325
3uzx_A,A,325
3uzx_B,B,325
3uzy_A,A,325
3uzy_B,B,325
3uzz_A,A,325
3uzz_B,B,325
3v0d_A,A,325
3v0d_B,B,325
3v0e_A,A,320
3v0f_A,A,331
3v0f_B,B,323
3v0g_A,A,326
3v0g_B,B,334
3v0g_C,C,324
3v0g_D,D,325
3v0h_A,A,326
3v0h_B,B,327
3v0j_A,A,319
3v0j_B,B,320
3v10_A,A,310
3v10_B,B,309
3v1h_A,A,306
3v1t_C,C,407
3v1t_D,D,409
3v1v_A,A,317
3v1w_A,A,349
3v1x_A,A,311
3v1y_A,A,335
3v1y_B,B,336
3v1y_C,C,336
3v1y_O,O,336
3v35_A,A,316
3v36_A,A,316
3v38_A,A,323
3v39_A,A,402
3v3m_A,A,306
3v3w_A,A,397
3v4b_A,A,384
3v4c_A,A,493
3v4c_B,B,491
3v4n_A,A,386
3v4n_B,B,383
3v4n_C,C,382
3v4n_D,D,382
3v4x_A,A,387
3v4x_B,B,386
3v4x_C,C,386
3v4x_D,D,386
3v51_A,A,459
3v55_A,A,368
3v5a_A,A,335
3v5c_A,A,386
3v5c_B,B,376
3v5c_C,C,385
3v5c_D,D,376
3v5f_A,A,386
3v66_A,A,335
3v6c_A,A,327
3v6q_A,A,594
3v6t_A,A,491
3v6t_B,B,487
3v7n_A,A,464
3v7p_A,A,409
3v7z_A,A,323
3v8d_A,A,479
3v8d_B,B,467
3v8h_A,A,312
3v8h_B,B,311
